ID,Fullname,Rule
b2242,glpB,(CRP_noRIB & (Fnr | ArcA) & !GlpR)
b2243,glpC,(CRP_noRIB & (Fnr | ArcA) & !GlpR)
b2276,nuoN,(!(ArcA | Fnr) | NarL)
b2277,nuoM,(!(ArcA | Fnr) | NarL)
b2278,nuoL,(!(ArcA | Fnr) | NarL)
b2279,nuoK,(!(ArcA | Fnr) | NarL)
b2280,nuoJ,(!(ArcA | Fnr) | NarL)
b2281,nuoI,(!(ArcA | Fnr) | NarL)
b2282,nuoH,(!(ArcA | Fnr) | NarL)
b2283,nuoG,(!(ArcA | Fnr) | NarL)
b2284,nuoF,(!(ArcA | Fnr) | NarL)
b2285,nuoE,(!(ArcA | Fnr) | NarL)
b2286,nuoC,(!(ArcA | Fnr) | NarL)
b2287,nuoB,(!(ArcA | Fnr) | NarL)
b2288,nuoA,(!(ArcA | Fnr) | NarL)
b2306,hisP,!M_lys__L_b
b2307,hisM,!M_lys__L_b
b2308,hisQ,!M_lys__L_b
b2309,hisJ,!M_lys__L_b
b2310,argT,!M_lys__L_b
b2311,ubiX,!PurR
b2312,purF,!PurR
b2323,fabB,(!"Stringent" | CpxR | RpoE | FadR2)
b2344,fadL,!(Crp | FadR | OmpR)
b2364,DsdC,M_ser__D_b
b2366,dsdA,((Crp & DsdC) | DsdC)
b2393,nupC,(Crp | !CytR)
b2405,XapR,M_xtsn_b
b2406,xapB,XapR
b2407,xapA,XapR
b2413,cysZ,CysB
b2414,cysK,CysB
b2415,ptsH,1
b2416,ptsI,1
b2417,crr,1
b2421,cysM,CysB
b2422,cysA,CysB
b2423,cysW,CysB
b2424,cysU,CysB
b2425,cysP,CysB
b2476,purC,!PurR
b2479,GcvR,!M_gly_b
b2492,focB,(ArcA | (Fnr & (Crp | !NarL)))
b2499,purM,!PurR
b2500,purN,!PurR
b2507,guaA,!(PurR & Crp)
b2508,guaB,!(PurR & Crp)
b2537,HcaR,M_pppn_b
b2538,hcaE,(HcaR & !"LBMedia")
b2539,hcaF,(HcaR & !"LBMedia")
b2540,hcaC,(HcaR & !"LBMedia")
b2541,hcaB,(HcaR & !"LBMedia")
b2542,hcaD,(HcaR & !"LBMedia")
b2551,glyA,(!M_gly_b | MetR | !PurR)
b2553,GlnB,Lrp
b2557,purL,!PurR
b2564,pdxJ,RpoE
b2573,RpoE,"heat_shock"
b2574,nadB,!NadR
b2599,pheA,!M_phe__L_b
b2600,tyrA,!(([M_phe__L_b > 10] | M_tyr__L_b) & TyrR)
b2601,aroF,!(([M_phe__L_b > 10] | M_tyr__L_b) & TyrR)
b2702,srlA,(!SrlR & CRP_noGL)
b2703,srlE,(!SrlR & CRP_noGL)
b2704,srlB,(!SrlR & CRP_noGL)
b2705,srlD,(GutM & !SrlR & CRP_noGL)
b2706,GutM,1
b2707,SrlR,!M_sbt__D_b
b2719,hycG,(FhlA & RpoN & !M_o2_b)
b2720,hycF,(FhlA & RpoN & !M_o2_b)
b2721,hycE,(FhlA & RpoN & !M_o2_b)
b2722,hycD,(FhlA & RpoN & !M_o2_b)
b2723,hycC,(FhlA & RpoN & !M_o2_b)
b2724,hycB,(FhlA & RpoN & !M_o2_b)
b2731,FhlA,(!M_o2_b & !M_no3_b & !M_no2_b & !M_tmao_b & !M_dmso_b & M_for_b)
b2741,RpoS,![R_BIOMASS_Ecoli > 0]
b2750,cysC,CysB
b2751,cysN,CysB
b2752,cysD,CysB
b2762,cysH,CysB
b2763,cysI,CysB
b2764,cysJ,CysB
b2787,gudD,SdaR
b2796,sdaC,(Crp | (!Lrp & M_leu__L_b & Crp))
b2797,sdaB,1
b2799,fucO,((((FucR | M_rmn_b) & !M_o2_b) & Crp) | ((FucR | M_rmn_b) & !M_o2_b))
b2800,fucA,((FucR & Crp) | FucR)
b2801,fucP,((FucR & Crp) | FucR)
b2802,fucI,((FucR & Crp) | FucR)
b2803,fucK,((FucR & Crp) | FucR)
b2805,FucR,M_fuc__L_b
b2808,GcvA,!GcvR
b2818,argA,!ArgR
b2837,GalR,(!M_lcts_b | !M_gal_b)
b2838,lysA,(LysR & !M_lys__L_b)
b2839,LysR,!M_lys__L_b
b2841,araE,Crp
b2903,gcvP,((Fis & !PdhR) & ((!GcvR & GcvA) | Lrp | !PurR))
b2904,gcvH,((Fis & !PdhR) & ((!GcvR & GcvA) | Lrp | !PurR))
b2905,gcvT,((Fis & !PdhR) & ((!GcvR & GcvA) | Lrp | !PurR))
b2926,pgk,1
b2927,epd,Crp
b2938,speA,!PurR
b2943,galP,((!GalR | GalS) & (Crp | !Crp))
b2957,ansB,(Fnr & Crp)
b2964,nupG,(Crp | !CytR | !DeoR)
b2965,speC,!Crp
b2975,glcA,(!ArcA & GlcC)
b2976,glcB,(!ArcA & GlcC)
b2980,GlcC,(M_ac_b | M_glyclt_b)
b2987,pitB,!PhoB
b2994,hybC,(FhlA & RpoN & !M_o2_b)
b2997,hybO,(FhlA & RpoN & !M_o2_b)
b3008,metC,!MetJ
b3061,ttdA,(!M_o2_b & M_tartr__L_b)
b3062,ttdB,(!M_o2_b & M_tartr__L_b)
b3091,uxaA,!ExuR
b3092,uxaC,!ExuR
b3093,exuT,!ExuR
b3094,ExuR,(![R_GUI1 > 0] & ![R_GUI2 > 0] & ![R_MANAO > 0] & ![R_TAGURr > 0] & ![R_GUI1 < 0] & ![R_GUI2 < 0] & ![R_MANAO < 0] & ![R_TAGURr < 0])
b3111,tdcGa,(Crp | !M_o2_b)
b3112,tdcGb,(Crp | !M_o2_b)
b3114,tdcE,(Crp | Fnr | LysR | TdcA | !TdcR)
b3115,tdcD,(Crp | Fnr | LysR | TdcA | !TdcR)
b3116,tdcC,(Crp | Fnr | LysR | TdcA | !TdcR)
b3117,tdcB,(Crp | Fnr | LysR | TdcA | !TdcR)
b3118,TdcA,(M_thr__L_b & M_ser__L_b & M_val__L_b & M_ile__L_b & !M_o2_b)
b3119,TdcR,(M_thr__L_b & M_ser__L_b & M_val__L_b & M_ile__L_b & !M_o2_b)
b3124,garK,SdaR
b3125,garR,SdaR
b3126,garL,SdaR
b3128,garD,SdaR
b3161,mtr,(!TrpR | (TyrR & (M_phe__L_b | M_tyr__L_b)))
b3202,RpoN,1
b3212,gltB,((Lrp & !M_leu__L_b) | !(NRI_hi & (M_glu__L_b | M_arg__L_b | M_asp__L_b | M_his__L_b | M_pro__L_b)))
b3213,gltD,((Lrp & !M_leu__L_b) | !(NRI_hi & (M_glu__L_b | M_arg__L_b | M_asp__L_b | M_his__L_b | M_pro__L_b)))
b3236,mdh,!ArcA
b3237,ArgR,M_arg__L_b
b3261,Fis,[R_BIOMASS_Ecoli > 0]
b3359,argD,!ArgR
b3365,nirB,(Fnr & NarL)
b3366,nirD,(Fnr & NarL)
b3367,nirC,(Fnr & NarL)
b3368,cysG,(Fnr | NarL)
b3405,OmpR,"high_osmolarity"
b3415,gntT,(!GntR & CRP_GLCN)
b3416,malQ,MalT
b3417,malP,MalT
b3418,MalT,(M_malt_b | M_malttr_b | M_maltttr_b | M_malthx_b | M_maltpt_b)
b3423,GlpR,!M_glyc_b
b3425,glpE,Crp
b3426,glpD,(CRP_noMAL & !(ArcA | GlpR))
b3428,glgP,Crp
b3437,gntK,(!GntR & CRP_GLCN)
b3438,GntR,!M_glcn_b
b3450,ugpC,(Crp | PhoB)
b3451,ugpE,(Crp | PhoB)
b3452,ugpA,(Crp | PhoB)
b3453,ugpB,(Crp | PhoB)
b3454,livF,(!M_leu__L_b | Lrp)
b3455,livG,(!M_leu__L_b | Lrp)
b3456,livM,(!M_leu__L_b | Lrp)
b3457,livH,(!M_leu__L_b | Lrp)
b3458,livK,(!M_leu__L_b | Lrp)
b3460,livJ,(!M_leu__L_b | Lrp)
b3500,gor,(OxyR | RpoS)
b3517,gadA,((![R_BIOMASS_Ecoli > 0] & !Crp) | [pH < 4])
b3519,treF,RpoS
b3526,kdgK,!KdgR
b3528,dctA,((CRP_noMAN & !ArcA & DcuR) & RpoN)
b3564,xylB,((XylR & Crp) | XylR)
b3565,xylA,((XylR & Crp) | XylR)
b3566,xylF,((XylR & Crp) | XylR)
b3567,xylG,((XylR & Crp) | XylR)
b3568,xylH,((XylR & Crp) | XylR)
b3569,XylR,M_xyl__D_b
b3572,avtA,!(M_ala__L_b | M_leu__L_b )
b3574,YiaJ,!M_fuc__L_b
b3575,yiaK,(!YiaJ & Crp)
b3579,yiaO,(Crp | YiaJ)
b3581,sgbH,!YiaJ
b3583,sgbE,!YiaJ
b3588,aldB,(RpoS & Crp)
b3599,mtlA,!MtlR
b3600,mtlD,!MtlR
b3601,MtlR,!M_mnl_b
b3603,lldP,!ArcA
b3605,lldD,(M_lac__L_b & M_o2_b)
b3607,cysE,CysB
b3616,tdh,(!Lrp & M_leu__L_b)
b3617,kbl,(!Lrp & M_leu__L_b)
b3642,pyrE,!(M_ura_b | M_gua_b)
b3653,gltS,M_asp__L_b
b3666,uhpT,(Crp | UhpA)
b3668,UhpB,M_g6p_b
b3669,UhpA,UhpB
b3670,ilvN,(!(M_leu__L_b | M_val__L_b) & Crp)
b3671,ilvB,(!(M_leu__L_b | M_val__L_b) & Crp)
b3691,dgoT,M_galctn__D_b
b3692,dgoA,M_galctn__D_b
b3693,dgoK,M_galctn__D_b
b3708,tnaA,(Crp & (M_trp__L_b | M_cys__L_b))
b3709,tnaB,(Crp & M_trp__L_b)
b3725,pstB,PhoB
b3726,pstA,PhoB
b3727,pstC,PhoB
b3728,pstS,PhoB
b3730,glmU,NagC
b3743,AsnC,(!M_asn__L_b & NRI_hi)
b3744,asnA,(!M_asn__L_b & AsnC)
b3748,rbsD,(CRP_noXYL & !RbsR)
b3749,rbsA,(CRP_noXYL & !RbsR)
b3750,rbsC,(CRP_noXYL & !RbsR)
b3751,rbsB,(CRP_noXYL & !RbsR)
b3752,rbsK,(CRP_noXYL & !RbsR)
b3753,RbsR,!M_rib__D_b
b3767,ilvG_1,(!(M_leu__L_b | M_ile__L_b | M_val__L_b) & Lrp)
b3768,ilvG_2,(!(M_leu__L_b | M_ile__L_b | M_val__L_b) & Lrp)
b3769,ilvM,(!(M_leu__L_b | M_ile__L_b | M_val__L_b) & Lrp)
b3773,IlvY,!M_val__L_b
b3774,ilvC,IlvY
b3806,cyaA,!Crp
b3828,MetR,!M_met__L_b
b3829,metE,(!MetJ & MetR)
b3831,udp,(!CytR | Crp)
b3845,fadA,(!FadR2 | !ArcA)
b3846,fadB,(!FadR2 | !ArcA)
b3868,GlnG,![M_nh4_b > 2]
b3869,GlnL,1
b3870,glnA,(Crp & RpoN)
b3892,fdoI,(M_o2_b | (!M_o2_b & M_no3_b))
b3893,fdoH,(M_o2_b | (!M_o2_b & M_no3_b))
b3894,fdoG,(M_o2_b | (!M_o2_b & M_no3_b))
b3902,rhaD,(RhaS | (RhaS & Crp))
b3903,rhaA,(RhaS | (RhaS & Crp))
b3904,rhaB,(RhaS | (RhaS & Crp))
b3905,RhaS,RhaR
b3906,RhaR,M_rmn_b
b3907,rhaT,(RhaS | (RhaS & Crp))
b3908,sodA,(!(ArcA | Fur) | MarA | Rob | SoxS)
b3909,kdgT,!KdgR
b3912,CpxR,"Stress"
b3917,sbp,CysB
b3926,glpK,(CRP_noMAL & !GlpR)
b3934,CytR,M_cytd_b
b3938,MetJ,M_met__L_b
b3939,metB,!MetJ
b3940,metL,!MetJ
b3942,katG,([R_BIOMASS_Ecoli > 0] & OxyR & RpoS)
b3951,pflD,(ArcA | Fnr)
b3952,pflC,(ArcA | Fnr)
b3957,argE,!ArgR
b3958,argC,!ArgR
b3959,argB,!ArgR
b3960,argH,!ArgR
b3961,OxyR,M_h2o2_b
b3973,BirA,M_btn_b
b4005,purD,!PurR
b4013,metA,(!MetJ | MetR)
b4014,aceB,(!IclR & (!ArcA | !FruR))
b4015,aceA,(!IclR & (!ArcA | !FruR))
b4018,IclR,FadR
b4019,metH,MetR
b4024,lysC,!M_lys__L_b
b4031,xylE,XylR
b4032,malG,((MalT & Crp) | MalT)
b4033,malF,((MalT & Crp) | MalT)
b4034,malE,((MalT & Crp) | MalT)
b4035,malK,((MalT & Crp) | MalT)
b4036,lamB,((MalT & Crp) | MalT)
b4039,ubiC,(!Fnr & Crp)
b4040,ubiA,(!Fnr & Crp)
b4054,tyrB,!((M_phe__L_b | M_tyr__L_b) & TyrR)
b4062,SoxS,SoxR
b4063,SoxR,(M_h2o2_b | "Oxidative_Stress")
b4069,acs,(RpoS | Fnr | (!IclR & CRP_noSUCC))
b4079,fdhF,(FhlA & RpoN & !M_o2_b)
b4089,RpiR,!M_rib__D_b
b4090,rpiB,!RpiR
b4111,proP,(!Crp & Fis & RpoS)
b4116,AdiY,([pH < 7] & !M_o2_b & !"Rich_Medium")
b4117,adiA,AdiY
b4118,MelR,(M_melib_b | (M_melib_b & Crp))
