b2837, galR, (!M_lcts_e | !M_gal_e )
b2838, lysA, (LysR & !M_lys__L_e) 
b2839, lysR, !M_lys__L_e
b2841, araE, Crp
b2903, gcvP, ((Fis & !PdhR) & ((!GcvR & GcvA) | Lrp | !PurR))
b2904, gcvH, ((Fis & !PdhR) & ((!GcvR & GcvA) | Lrp | !PurR))
b2905, gcvT, ((Fis & !PdhR) & ((!GcvR & GcvA) | Lrp | !PurR))
b2926, pgk, 1
b2927, epd, Crp
b2938, speA, !PurR
b2943, galP, (!GalR | GalS) & (Crp | !Crp))
b2957, ansB, (Fnr & Crp)
b2964, nupG, (Crp | !CytR | !DeoR)
b2965, speC, !Crp
b2975, glcA, (!ArcA & GlcC)
b2976, glcB, (!ArcA & GlcC)
b2980, glcC, (M_ac_e | M_glyclt_e)
b2987, pitB, !PhoB
b2994, hybC, (FhlA & RpoN & !M_o2_e)
b2997, hybO, (FhlA & RpoN & !M_o2_e)
b3008, metC, !MetJ
b3061, ttdA, (!M_o2_e & M_tartr__L_e)
b3062, ttdB, (!M_o2_e & M_tartr__L_e)
b3091, uxaA, !ExuR
b3092, uxaC, !ExuR
b3093, exuT, !ExuR
b3094, exuR, (![R_GUI1 > 0] & ![R_GUI2 > 0] & ![R_MANAO > 0] & ![R_TAGURr > 0] & ![R_GUI1 < 0] & ![R_GUI2 < 0] & ![R_MANAO < 0] & ![R_TAGURr < 0])
b3111, tdcGa, (Crp | !M_o2_e)
b3112, tdcGb, (Crp | !M_o2_e)
b3114, tdcE, (Crp | Fnr | LysR | TdcA | !TdcR)
b3115, tdcD, (Crp | Fnr | LysR | TdcA | !TdcR)
b3116, tdcC, (Crp | Fnr | LysR | TdcA | !TdcR)
b3117, tdcB, (Crp | Fnr | LysR | TdcA | !TdcR)
b3118, tdcA, (M_thr__L_e & M_ser__L_e & M_val__L_e & M_ile__L_e & !M_o2_e)
b3119, tdcR, (M_thr__L_e & M_ser__L_e & M_val__L_e & M_ile__L_e & !M_o2_e)
b3124, garK, SdaR
b3125, garR, SdaR
b3126, garL, SdaR
b3128, garD, SdaR
b3161, mtr, (!TrpR | (TyrR & (M_phe__L_e | M_tyr__L_e)))
b3202, rpoN, 1
b3212, gltB, ((Lrp & !M_leu__L_e) | !(NRI_hi & (M_glu__L_e | M_arg__L_e | M_asp__L_e | M_his__L_e | M_pro__L_e)))
b3213, gltD, ((Lrp & !M_leu__L_e) | !(NRI_hi & (M_glu__L_e | M_arg__L_e | M_asp__L_e | M_his__L_e | M_pro__L_e)))
b3236, mdh, !ArcA
b3237, argR, M_arg__L_e
b3261, fis, [R_Growth > 0]
b3357, crp, CRP_noGLC
b3359, argD, !ArgR
b3365, nirB, (Fnr & NarL)
b3366, nirD, (Fnr & NarL)
b3367, nirC, (Fnr & NarL)
b3368, cysG, (Fnr | NarL)
b3405, ompR, "high osmolarity"
b3415, gntT, (!GntR & CRP_GLCN)
b3416, malQ, MalT
b3417, malP, MalT
b3418, malT, (M_malt_e | M_malttr_e | M_maltttr_e | M_malthx_e | M_maltpt_e)
b3423, glpR, !M_glyc_e
b3425, glpE, Crp
b3426, glpD, (CRP_noMAL & !(ArcA | GlpR))
b3428, glgP, Crp
b3437, gntK, (!GntR & CRP_GLCN)
b3438, gntR, !M_glcn_e
b3450, ugpC, (Crp | PhoB)
b3451, ugpE, (Crp | PhoB)
b3452, ugpA, (Crp | PhoB)
b3453, ugpB, (Crp | PhoB)
b3454, livF, !M_leu__L_e | Lrp)
b3455, livG, !M_leu__L_e | Lrp)
b3456, livM, !M_leu__L_e | Lrp)
b3457, livH, !M_leu__L_e | Lrp)
b3458, livK, !M_leu__L_e | Lrp)
b3460, livJ, !M_leu__L_e | Lrp)
b3500, gor, (OxyR | RpoS)
b3517, gadA, ((![R_Growth > 0] & !Crp) | [R_pH < 4])
b3519, treF, RpoS
b3526, kdgK, !KdgR
b3528, dctA, ((CRP_noMAN & !ArcA & DcuR) & RpoN)
b3564, xylB, ((XylR & Crp) | XylR)
b3565, xylA, ((XylR & Crp) | XylR)
b3566, xylF, ((XylR & Crp) | XylR)
b3567, xylG, ((XylR & Crp) | XylR)
b3568, xylH, ((XylR & Crp) | XylR)
b3569, xylR, M_xyl__D_e
b3572, avtA, !(M_ala__L_e | M_leu__L_e )
b3574, yiaJ, !M_fuc__L_e
b3575, yiaK, (!YiaJ & Crp)
b3579, yiaO, (Crp | YiaJ)
b3581, sgbH, !YiaJ
b3583, sgbE, !YiaJ
b3588, aldB, (RpoS & Crp)
b3599, mtlA, !MtlR
b3600, mtlD, !MtlR
b3601, mtlR, !M_mnl_e
b3603, lldP, !ArcA
b3605, lldD, (M_lac__L_e & M_o2_e)
b3607, cysE, CysB
b3616, tdh, (!Lrp & M_leu__L_e)
b3617, kbl, (!Lrp & M_leu__L_e)
b3642, pyrE, !(M_ura_e | M_gua_e)
b3653, gltS, M_asp__L_e
