b3732, atpD
b3733, atpG
b3734, atpA
b3735, atpH
b3736, atpF
b3737, atpE
b3738, atpB
b3739, atpI
b3743, asnC
b3744, asnA
b3748, rbsD
b3749, rbsA
b3750, rbsC
b3751, rbsB
b3752, rbsK
b3753, rbsR
b3767, ilvG_1
b3768, ilvG_2
b3769, ilvM
b3770, ilvE
b3771, ilvD
b3772, ilvA
b3773, ilvY
b3774, ilvC
b3784, wecA
b3786, wecB
b3787, wecC
b3788, rffG
b3789, rffH
b3790, wecD
b3791, wecE
b3793, wecF
b3794, wecG
b3803, hemX
b3804, hemD
b3805, hemC
b3806, cyaA
b3809, dapF
b3821, pldA
b3825, pldB
b3828, metR
b3829, metE
b3831, udp
b3833, ubiE
b3835, ubiB
b3843, yigC
b3845, fadA
b3846, fadB
b3849, trkH
b3850, hemG
b3868, glnG
b3869, glnL
b3870, glnA
b3892, fdoI
b3893, fdoH
b3894, fdoG
b3902, rhaD
b3903, rhaA
b3904, rhaB
b3905, rhaS
b3906, rhaR
b3907, rhaT
b3908, sodA
b3909, kdgT
b3912, cpxR
b3916, pfkA
b3917, sbp
b3918, cdh
b3919, tpiA
b3926, glpK
b3927, glpF
b3929, menG
b3930, menA
b3934, cytR
b3938, metJ
b3939, metB
b3940, metL
b3941, metF
b3942, katG
b3945, gldA
b3946, talC
b3951, pflD
b3952, pflC
b3956, ppc
b3957, argE
b3958, argC
b3959, argB
b3960, argH
b3961, oxyR
b3962, sthA
b3966, btuB
b3967, murI
b3972, murB
b3973, birA
b3974, coaA
b3990, thiH
b3991, thiG
b3992, thiF
b3993, thiE
b3994, thiC
b3997, hemE
b4005, purD
b4006, purH
b4013, metA
b4014, aceB
b4015, aceA
b4018, iclR
b4019, metH
b4024, lysC
b4025, pgi
b4031, xylE
b4032, malG
b4033, malF
b4034, malE
b4035, malK
b4036, lamB
b4039, ubiC
b4040, ubiA
b4041, plsB
b4042, dgkA
b4053, alr
b4054, tyrB
b4062, soxS
b4063, soxR
b4069, acs
b4077, gltP
b4079, fdhF
b4089, rpiR
b4090, rpiB
b4111, proP
b4116, adiY
b4117, adiA
b4118, melR
b4119, melA
b4120, melB
b4122, fumB
b4123, dcuB
b4124, dcuR
b4125, dcuS
b4131, cadA
b4132, cadB
b4133, cadC
b4138, dcuA
b4139, aspA
b4151, frdD
b4152, frdC
b4153, frdB
b4154, frdA
b4160, psd
b4177, purA
b4196, sgaH
b4197, sgaU
b4198, sgaE
b4208, cycA
b4226, ppa
b4227, ytfQ
b4228, ytfR
b4229, ytfS
b4230, ytfT
b4231, yjfF
b4232, fbp
b4238, nrdD
b4239, treC
b4240, treB
b4241, treR
b4244, pyrI
b4245, pyrB
b4254, argI
b4264, idnR
b4265, idnT
b4266, idnO
b4267, idnD
b4268, idnK
b4301, sgcE
b4321, gntP
b4322, uxuA
b4323, uxuB
b4324, uxuR
b4381, deoC
b4382, deoA
b4383, deoB
b4384, deoD
b4388, serB
b4390, nadR
b4393, trpR
b4395, gpmB
b4396, rob
b4401, arcA
b4407, thiS
